,Value
0,0.14028528339826568
1,0.2529673590504451
2,0.25403746206704103
3,0.13592233009708737
4,0.040885040885040885
5,0.14251560632222074
6,0.15487193028782678
7,0.3039747064137308
8,0.08215827338129496
9,0.24448529411764705
10,0.15414918372208072
11,0.34528971225857313
12,0.27886323268206037
13,0.18931297709923664
14,0.07989847715736041
15,0.15859030837004406
16,0.1402705217204609
17,0.1422680412371134
18,0.05077369439071567
19,0.09847110650427572
20,0.12345679012345678
21,0.17202970297029702
22,0.11746143057503507
23,0.10038670161687992
24,0.1497326203208556
25,0.0992734031767489
26,0.1414141414141414
27,0.05901639344262295
28,0.0765788165091994
29,0.09876543209876543
30,0.17117117117117117
31,0.11351860574658502
32,0.17424633936261844
33,0.15419144877118168
34,0.139993755853887
35,0.05819440075495439
36,0.0653950953678474
37,0.06960556844547564
38,0.1815403422982885
39,0.08333333333333333
40,0.16456662848415426
41,0.06154830454254639
42,0.1959694232105629
43,0.18361375274323335
44,0.3341498001804821
45,0.12332268370607029
46,0.2099236641221374
47,0.18878357030015797
48,0.049910873440285206
49,0.03864734299516908
50,0.32765314926660916
51,0.048513302034428794
52,0.28454332552693207
53,0.029386343993085567
54,0.12995699952221693
55,0.11683848797250859
56,0.12198795180722892
57,0.06018518518518518
58,0.07338081828722876
59,0.016611295681063124
60,0.1784068466096116
61,0.08294601358598498
62,0.27857405365674387
63,0.11282597126130921
64,0.08141082519964507
65,0.15308151093439365
66,0.08826262000619386
67,0.19621938232161876
68,0.05453852021357742
69,0.10114503816793893
70,0.03676470588235294
71,0.051601423487544484
72,0.10412147505422993
73,0.0886566008517228
74,0.09198813056379822
75,0.1473997028231798
76,0.14612676056338028
77,0.11871759602158502
78,0.2170172084130019
79,0.07954802259887006
80,0.03615196078431373
81,0.03557312252964427
82,0.2356020942408377
83,0.18119551681195517
84,0.023297491039426525
85,0.09226932668329177
86,0.1671849548348882
87,0.06828597616865262
88,0.06091370558375635
89,0.12386706948640483
90,0.15384615384615385
91,0.11443661971830986
92,0.08609556607834697
93,0.21212121212121213
94,0.09972763461135555
95,0.049204052098408106
96,0.30804248861911987
97,0.0811554332874828
98,0.10242759795570698
99,0.09021708486044544
100,0.17524339360222532
101,0.08023774145616643
102,0.22274881516587677
103,0.08637152777777778
104,0.18090452261306533
105,0.10084033613445378
106,0.0935483870967742
107,0.16123499142367068
108,0.05983033189462718
109,0.03971486761710794
110,0.1625
111,0.07692307692307693
112,0.1875779496133699
113,0.1762917933130699
114,0.1345496009122007
115,0.13227513227513227
116,0.11042944785276074
117,0.09517601043024772
118,0.1446578631452581
119,0.08121827411167512
120,0.16300731869594146
121,0.08406874129122155
122,0.09607250755287008
123,0.1791044776119403
124,0.13716356107660455
125,0.10910151691948658
126,0.0944741532976827
127,0.20441988950276244
128,0.12593703148425786
129,0.04496124031007752
130,0.06097560975609756
131,0.09647887323943662
132,0.17286914765906364
133,0.09484777517564402
134,0.2087378640776699
135,0.09627329192546584
136,0.14471968709256844
137,0.08817635270541083
138,0.12720156555772993
139,0.07146930241398973
140,0.28192999053926204
141,0.10578512396694215
142,0.12994555353901996
143,0.03571428571428571
144,0.01942645698427382
145,0.06682577565632458
146,0.125
147,0.14606741573033707
148,0.13765642775881684
149,0.11316955296012887
150,0.13651137594799567
151,0.1271585557299843
152,0.1857256566728575
153,0.09020902090209021
154,0.07772020725388601
155,0.09005810200129115
156,0.2743589743589744
157,0.08185053380782918
158,0.15163528245787908
159,0.13278008298755187
160,0.13211009174311927
161,0.21512247071352503
162,0.19170984455958548
163,0.09433962264150944
164,0.03992015968063872
165,0.14623655913978495
166,0.15934065934065933
167,0.05860805860805861
168,0.15
169,0.056714471968709254
170,0.08745247148288973
171,0.11702127659574468
172,0.211864406779661
173,0.13065610859728508
174,0.17454068241469817
175,0.11646586345381527
176,0.16052060737527116
177,0.08526187576126674
178,0.11081081081081082
179,0.1412556053811659
180,0.12747252747252746
181,0.044270833333333336
182,0.11234487263226649
183,0.3183856502242152
184,0.2076069730586371
185,0.10488798370672098
186,0.17567567567567569
187,0.13544018058690746
188,0.15919578114700067
189,0.29945054945054944
190,0.12578616352201258
191,0.02735652691049658
192,0.07903402854006586
193,0.10406091370558376
194,0.12077294685990338
195,0.11850311850311851
196,0.05565217391304348
197,0.12878787878787878
198,0.14853556485355648
199,0.029850746268656716
200,0.08032128514056225
201,0.11891279728199321
202,0.10401891252955082
203,0.1650485436893204
204,0.05927342256214149
205,0.13539823008849558
206,0.3391642371234208
207,0.12890625
208,0.07692307692307693
209,0.10176991150442478
210,0.17073170731707318
211,0.15198618307426598
212,0.09922077922077922
213,0.1917808219178082
214,0.14793741109530584
215,0.125
216,0.09252669039145907
217,0.06072874493927125
218,0.08225108225108226
219,0.028985507246376812
220,0.04242424242424243
221,0.07220496894409938
222,0.23076923076923078
223,0.0625
224,0.34894613583138173
225,0.0339943342776204
226,0.15306122448979592
227,0.16666666666666666
228,0.14108910891089108
229,0.10884353741496598
230,0.2642095914742451
231,0.10303030303030303
232,0.10591133004926108
233,0.1184573002754821
234,0.09817754262198707
235,0.21428571428571427
236,0.032
237,0.08739837398373984
238,0.0481651376146789
239,0.19220779220779222
240,0.08917197452229299
241,0.16149068322981366
242,0.101238164603059
243,0.16083916083916083
244,0.07321428571428572
245,0.13818181818181818
246,0.027696793002915453
247,0.16147308781869688
248,0.088875809299588
249,0.20207253886010362
250,0.10810810810810811
251,0.07692307692307693
252,0.05263157894736842
253,0.12903225806451613
254,0.08936170212765958
255,0.09090909090909091
256,0.14335664335664336
257,0.031746031746031744
258,0.09722222222222222
259,0.13194444444444445
260,0.14527845036319612
261,0.10727969348659004
262,0.1013215859030837
263,0.10928512736236648
264,0.3136593591905565
265,0.054307116104868915
266,0.1412639405204461
267,0.031914893617021274
268,0.06666666666666667
269,0.1396917148362235
270,0.11646586345381527
271,0.11232449297971919
272,0.12797619047619047
273,0.12371134020618557
274,0.13649851632047477
275,0.25064599483204136
276,0.09774436090225563
277,0.19457013574660634
278,0.03271028037383177
279,0.08333333333333333
280,0.24043715846994534
281,0.046094750320102434
282,0.030395136778115502
283,0.11299435028248588
284,0.0576271186440678
285,0.02830188679245283
286,0.10835401157981803
287,0.11475409836065574
288,0.2570093457943925
289,0.07709251101321586
290,0.08041237113402062
291,0.12871287128712872
292,0.06017191977077364
293,0.10175438596491228
294,0.24817518248175183
295,0.16723549488054607
296,0.11494252873563218
297,0.038834951456310676
298,0.21768707482993196
299,0.14803625377643503
300,0.1520912547528517
301,0.08231707317073171
302,0.19051878354203935
303,0.11070780399274047
304,0.08863636363636364
305,0.09885931558935361
306,0.05162523900573614
307,0.07708333333333334
308,0.1270718232044199
309,0.17105263157894737
310,0.10294117647058823
311,0.20634920634920634
312,0.2807017543859649
313,0.015810276679841896
314,0.06809338521400778
315,0.10416666666666667
316,0.1371841155234657
317,0.10743801652892562
318,0.04149377593360996
319,0.1527777777777778
320,0.07974910394265233
321,0.22413793103448276
322,0.028846153846153848
323,0.11170212765957446
324,0.043029259896729774
325,0.1645021645021645
326,0.14583333333333334
327,0.1044776119402985
328,0.11965811965811966
329,0.0213903743315508
330,0.16600790513833993
331,0.30578512396694213
332,0.14285714285714285
333,0.29245283018867924
334,0.21176470588235294
335,0.05263157894736842
336,0.07339449541284404
337,0.13872832369942195
338,0.14388489208633093
339,0.10828025477707007
340,0.16
341,0.14942528735632185
342,0.2638888888888889
343,0.12560386473429952
344,0.11926605504587157
345,0.09022556390977443
346,0.0726643598615917
347,0.03133903133903134
348,0.3013698630136986
349,0.10101010101010101
350,0.07807807807807808
351,0.06201550387596899
352,0.30120481927710846
353,0.18421052631578946
354,0.07482993197278912
355,0.0430622009569378
356,0.12903225806451613
357,0.12837837837837837
358,0.1259259259259259
359,0.049723756906077346
360,0.13636363636363635
361,0.03977272727272727
362,0.1
363,0.13513513513513514
364,0.10826210826210826
365,0.10638297872340426
366,0.2138728323699422
367,0.11538461538461539
368,0.09787234042553192
369,0.13793103448275862
370,0.192
371,0.17120622568093385
372,0.2
