,Value
0,0.2955908958390135
1,0.3765012430375372
2,0.36786885230009847
3,0.528874201343482
4,0.2112085447591936
5,0.16686539234561512
6,0.22685742449109508
7,0.41084176153075386
8,0.04957763492076881
9,0.21696719920280957
10,0.3836649112205726
11,0.30859542983346916
12,0.13082426079559714
13,0.058251749073591985
14,0.2536730068876301
15,0.19501848715647777
16,0.07262939008464067
17,0.06370921642073343
18,0.2729604252395353
19,0.528725542739026
20,0.1298374452395774
21,0.3820214036341314
22,0.1638382022507651
23,0.16343960516981784
24,0.4297040445016819
25,0.4607219105791503
26,0.4662943274223477
27,0.33907746190272436
28,0.39339491899960655
29,0.2415288773279215
30,0.37518872772398604
31,0.10785406907111335
32,0.48791126786254674
33,0.3969489699076092
34,0.2680349875989437
35,0.20408162703698282
36,0.26739576411081134
37,0.2946495573707624
38,0.18510619798266195
39,0.6781024743879628
40,0.5685340540838788
41,0.37883303878042707
42,0.4296093929971519
43,0.457711937454713
44,0.3988266822991822
45,0.3410154668237414
46,0.3452873924880367
47,0.27469781890546746
48,0.34595080020800983
49,0.07440568295857684
50,0.16134756328692382
51,0.5718746527836552
52,0.060514370925094714
53,0.19670534961170016
54,0.28645747248187503
55,0.072922235497433
56,0.2601877104731254
57,0.2748150341823368
58,0.19033073476715465
59,0.21222839544506034
60,0.3269776141945223
61,0.219067067169867
62,0.19644840193905425
63,0.20562251349182298
64,0.19131470067516726
65,0.10974536511385455
66,0.20691404437044802
67,0.342355596544298
68,0.7193731536838996
69,0.19622875243655152
70,0.11361821541320713
71,0.21689723284572737
72,0.30149884947447714
73,0.280805497784493
74,0.1124624844310919
75,0.4793904136525339
76,0.32392280102807647
77,0.1706155682811406
78,0.35534269202320523
79,0.21464847903226636
80,0.038021593098094955
81,0.3176233762333789
82,0.20003060034087994
83,0.3298185114773473
84,0.38279395583142684
85,0.26601974914658894
86,0.24576967276570869
87,0.637813873149983
88,0.28524072082262136
89,0.25195576965646793
90,0.19240731725784094
91,0.30771278006471614
92,0.06464500955714475
93,0.17202642511857053
94,0.11618643138238222
95,0.2660471847884631
96,0.17528147862138216
97,0.07763430318252222
98,0.10529742841505822
99,0.1143295540777266
100,0.28343534328460673
101,0.359607403901953
102,0.18217167316510813
103,0.5230897509757009
104,0.4717781429493498
105,0.16462463538280403
106,0.3507734025119607
107,0.32134615518714066
108,0.1532224418050764
109,0.24211412558052964
