,Value
0,0.22619047619047622
1,0.280542071197411
2,0.2736830742659758
3,0.2570110046148385
4,0.26544289044289043
5,0.1790273423894113
6,0.20736448038334826
7,0.24707940461365113
8,0.2683082349749015
9,0.13769230769230778
10,0.3187830687830688
11,0.27402402402402404
12,0.18554067460317455
13,0.18410188844971456
14,0.20004984280346602
15,0.2247340425531915
16,0.25626666666666664
17,0.101010101010101
18,0.16666666666666669
19,0.34161793372319693
20,0.2706439393939393
21,0.28992673992673984
22,0.17616493862471688
23,0.2672557172557172
24,0.303921568627451
25,0.2601426307448494
26,0.3177777777777777
27,0.19626111983254832
28,0.1811430010070494
29,0.22853009259259263
30,0.212696828565092
31,0.17704706640876836
32,0.3743131868131868
33,0.35173041894353374
34,0.30439814814814814
35,0.24287343215507415
36,0.297979797979798
37,0.26523994811932555
38,0.21849266022198358
39,0.3251121076233183
40,0.19028871391076116
41,0.24012508229098087
42,0.29733455882352944
43,0.2682926829268293
44,0.3235294117647059
45,0.12143779595350838
46,0.3379032258064516
47,0.17969271877087506
48,0.20979130931961107
49,0.25070921985815603
50,0.3070833333333333
51,0.30303030303030304
52,0.1804549114331723
53,0.31333333333333335
54,0.23515108593012277
55,0.17132725430597773
56,0.2498447204968944
57,0.19187725631768954
58,0.2701291079812207
59,0.18448275862068966
60,0.14299587278465647
61,0.24269739401011256
62,0.22932031814895149
63,0.22548350398179756
64,0.23070175438596496
65,0.20943689079282285
66,0.2475851309184642
67,0.2366805652073199
68,0.365829019269485
69,0.16045204756087175
70,0.1527374226526769
71,0.21941580756013743
72,0.2211648745519713
73,0.25260416666666663
74,0.13177917620137303
75,0.239766081871345
76,0.24163208852005535
77,0.16718658034137726
78,0.23962282780410735
79,0.2567049808429119
80,0.1590909090909091
81,0.3035324341682723
82,0.18131646497983128
83,0.2018572550779934
84,0.18833828873472086
85,0.16800497562871167
86,0.17685075308078502
87,0.36073380171740826
88,0.19512206220280753
89,0.1837053020340499
90,0.14492651679961316
91,0.29447278911564645
92,0.14984496124031
93,0.14712769849981705
94,0.13199490121096238
95,0.3020833333333333
96,0.22643097643097645
97,0.1981586402266289
98,0.2549382716049383
99,0.21012145748987862
100,0.20974188790560455
101,0.22916666666666666
102,0.22283406754772397
103,0.2290909090909091
104,0.3457831325301205
105,0.25418573123199456
106,0.21884057971014492
107,0.21064610866372982
108,0.1752184613682878
109,0.24057539682539683
110,0.17577030812324926
111,0.24293785310734467
112,0.08355072463768119
113,0.28924936386768446
114,0.2024051508080545
115,0.23099318831026164
116,0.2213283828382838
117,0.179340937896071
118,0.18673891900915196
119,0.13549640287769799
120,0.21109460128776628
121,0.16551320272572406
122,0.24232081911262798
123,0.1458392212278223
124,0.21446208112874782
125,0.18202416918429004
126,0.3596318879855464
127,0.33129364204336664
128,0.38876625936145076
129,0.36838554423961156
130,0.17290100250626575
131,0.350240263024785
132,0.09378901373283398
133,0.2878044912458768
134,0.12821831729967195
135,0.2132333767926988
136,0.1938342967244701
137,0.28125
138,0.16888567293777132
139,0.20806287665221013
140,0.2172906916276651
141,0.22411616161616163
142,0.17165522401197078
143,0.23493397358943582
144,0.21383743973779964
145,0.08661321671525754
146,0.1847265495525353
147,0.19197530864197532
148,0.2168729372937294
149,0.20154720424755262
150,0.255592469545958
151,0.1337281924228346
152,0.18456241956241953
153,0.1507936507936508
154,0.26054292929292927
155,0.23556103760185393
156,0.2578525903669307
157,0.2883749488334015
158,0.1749336192810457
159,0.30756578947368424
160,0.20571658615136876
161,0.2255878284923928
162,0.3003541912632822
163,0.288135593220339
164,0.10025602632357292
165,0.25165837479270314
166,0.19074778200253487
167,0.17482983110207295
168,0.2405017921146954
169,0.3321195973949083
170,0.2028740290442419
171,0.3333333333333333
172,0.16911764705882354
173,0.10831991411701561
174,0.19245377311344328
175,0.16997652582159628
176,0.27429476108232587
177,0.07671019900497514
178,0.1676065162907268
179,0.1497175076540155
180,0.23056185437137783
181,0.3820776255707763
182,0.2368006304176517
183,0.3076923076923077
184,0.2002688172043011
185,0.23841145833333338
186,0.3532598714416897
187,0.2779225908372827
188,0.21552619138529822
189,0.2525939600492285
190,0.18455507002018684
191,0.17318973418881758
192,0.2259398496240602
193,0.16992611907866143
194,0.19453858568075105
195,0.1958398821913542
196,0.18844084573630793
197,0.24339853300733488
198,0.17044279250161604
199,0.19429590017825313
200,0.4153005464480874
201,0.20822058411868982
202,0.26178823190907763
203,0.12588482137927243
204,0.1988918439716312
205,0.14358803776214915
206,0.18772727272727274
207,0.20411255411255416
208,0.34027777777777773
209,0.2555479138010088
210,0.32142857142857134
211,0.21534954407294826
212,0.19433106575963716
213,0.231658692185008
214,0.283710164035682
215,0.20538720538720537
216,0.24666666666666665
217,0.22264185367633657
218,0.29611358391031983
219,0.24898103309120262
220,0.2459016393442623
221,0.1964019008825527
222,0.2271374458874459
223,0.2136044176706827
224,0.1698778634876111
225,0.1293270601653836
226,0.2219972260748959
227,0.25163398692810457
228,0.17784050322433015
229,0.3650927487352445
230,0.30448717948717946
231,0.2333985649054143
232,0.21483180428134555
233,0.17504306632213615
234,0.17982456140350878
235,0.18324652777777783
236,0.24064862228724698
237,0.12745098039215685
238,0.2931265206812652
239,0.24887387387387394
240,0.22786473073294786
241,0.240140993265993
242,0.11156597026162243
243,0.22113249444855662
244,0.228168567807351
245,0.5
246,0.23085585585585588
247,0.24252976190476186
248,0.12994261867501303
249,0.14872637633525063
250,0.23421196394427743
251,0.132295719844358
252,0.2659344490934449
253,0.23762062310449406
254,0.2222222222222222
255,0.15445859872611462
256,0.17409909909909912
257,0.28735632183908044
258,0.12761555355894966
259,0.22643553629469126
260,0.24095754991277388
261,0.24653035935563822
262,0.10357966716098206
263,0.34174757281553386
264,0.22219662058371747
265,0.23941068139963165
266,0.22861842105263158
267,0.23118279569892475
268,0.19037648054145515
269,0.29890046296296297
270,0.12411017360100861
271,0.24016393442622952
272,0.20877796901893278
273,0.23627351296390445
274,0.1758591065292096
275,0.22115384615384615
276,0.2275728155339805
277,0.2512626262626263
278,0.26806526806526804
279,0.1896296296296296
280,0.2127746180439389
281,0.3301009145380006
282,0.18775879917184257
283,0.22460599521905594
284,0.15755001887504716
285,0.13649664472835207
286,0.1298836242726517
287,0.16321839080459769
288,0.16683760683760682
289,0.2176962676962677
290,0.16466528640441674
291,0.20896946564885494
292,0.1534719556408616
293,0.22378267456801473
294,0.24907801418439718
295,0.15061911837543338
296,0.20925076452599387
297,0.23434704830053676
298,0.15594375431331953
299,0.23318872017353576
300,0.24747474747474751
301,0.26271753681392246
302,0.34375
303,0.14259958791208788
304,0.13068280034572172
305,0.1186709836571077
306,0.1944444444444444
307,0.2490629183400268
308,0.19480941704035867
309,0.16768168899715788
310,0.23651413690476172
311,0.21471088435374147
312,0.2610619469026549
313,0.22190293742017883
314,0.2573363431151241
315,0.19841269841269837
316,0.35
317,0.2033898305084746
318,0.2120186988157968
319,0.13914910807305522
320,0.18374999999999997
321,0.273181049069374
322,0.29081632653061223
323,0.19570477918935267
324,0.21593001841620624
325,0.23004535147392288
326,0.1478553921568627
327,0.18651515151515155
328,0.28440203562340977
329,0.1173905121054633
330,0.32846869712351934
331,0.2088532382650029
332,0.24184097314938444
333,0.2510431154381083
334,0.26897590361445783
335,0.2264604810996563
336,0.2779463968761096
337,0.20589133089133083
338,0.2092673992673993
339,0.20730543318649042
340,0.18004587155963306
341,0.3183021806853583
342,0.21923076923076915
343,0.30128205128205127
344,0.16836701223107145
345,0.21872477804681204
346,0.2818930041152264
347,0.17135856708347402
348,0.19819819819819817
349,0.21317103620474406
350,0.17745638200183655
351,0.14599783248180837
352,0.21428571428571427
353,0.1754508348794062
354,0.15914876690533009
355,0.1788822947576657
356,0.39465408805031443
357,0.21791955159907678
358,0.19456327985739755
359,0.2163085399449035
360,0.28014705882352936
361,0.32722513089005234
362,0.20287511230907462
363,0.22721822541966424
364,0.30792420327304043
365,0.27747336377473364
366,0.224821063394683
367,0.2209164292497626
368,0.0912037037037037
369,0.24496361293257057
370,0.25654434250764524
371,0.22971781305114633
372,0.25266666666666665
373,0.3129072681704261
374,0.2226661433804292
375,0.2988875878220141
376,0.19085535927746036
377,0.309463986599665
378,0.24867986798679853
379,0.21339984749447133
380,0.23584637268847805
381,0.36062520246193713
382,0.26468048359240065
383,0.2272892008441142
384,0.26169429097605895
385,0.2855626326963907
386,0.19964349376114082
387,0.26960784313725494
388,0.2056796455703737
389,0.20515954835542452
390,0.17361205273069688
391,0.18287037037037035
392,0.10848577235772358
393,0.13029911771035074
394,0.0854673495518566
395,0.2606410256410256
396,0.2733544944016182
397,0.21482269503546103
398,0.20778787878787877
399,0.27635046113306977
